item_id,model_name,brand,price_inr,rating,num_ratings,color,type
1,5PLUS 5PHP28 Wired without Mic Headset,5PLUS,496,3.6,101,Red,On the Ear
2,A R Wireless compatible with Headset Bluetooth SPORT ME...,A R,188,3.9,35280,Multicolor,On the Ear
3,Aerizo Wireless Touch R100 Earbuds (Black) Bluetooth He...,Aerizo,589,4.0,1934,Black,True Wireless
4,Allmusic powerful driven bass with dynamic beats powere...,Allmusic,260,4.0,15841,Multicolor,In the Ear
5,Allmusic OPP.O Ultra HD Sound Premium Bass Sports /Gym/...,Allmusic,270,3.8,10766,Black,In the Ear
6,"Allmusic Op.po F11 pro,A3s,F9 Pro,K1,A5,A7,F9,F7,A5s,F5...",Allmusic,199,3.7,85,Black,In the Ear
7,Aloof A31 Bluetooth Headset,Aloof,599,3.9,809,Green,In the Ear
8,Aloof A31 Bluetooth Headset,Aloof,599,3.9,809,Green,In the Ear
9,ALTRONICS High Bass Universal Wired Earphone Mic For V1...,ALTRONICS,299,4.0,41082,White,In the Ear
10,Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,985,3.9,4849,Indigo Blue,True Wireless
11,Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,987,3.9,4849,Black,True Wireless
12,Ambrane BassBand Beat Bluetooth Headset,Ambrane,759,4.2,120,Grey,In the Ear
13,Ambrane BassBand Lite Bluetooth Headset,Ambrane,788,3.9,73755,Black,In the Ear
14,Ambrane BassBand Lite Bluetooth Headset,Ambrane,788,3.8,679,Black,In the Ear
15,Ambrane BassBand Beat Bluetooth Headset,Ambrane,759,3.8,1316,Black,In the Ear
16,Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,999,3.4,20,White,True Wireless
17,Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,949,4.0,389,Pink,True Wireless
18,AMJ Wireless Magnet Bluetooth EarphoneSports for Runnin...,AMJ,139,4.0,3,Black,In the Ear
19,"AMJ Audio Headsets with 10mm Drivers, Sports Bluetooth ...",AMJ,369,4.4,23,Black,In the Ear
20,AMJ HBS_730Bluetooth Bluetooth Headset,AMJ,220,3.5,140,Black,In the Ear
21,AMJ Sports 9-R1 Wireless Bluetooth Bluetooth Headset,AMJ,238,4.4,20395,Yellow,In the Ear
22,AMJ Sports 9-R1 Wireless Bluetooth Bluetooth Headset,AMJ,238,3.9,10398,Yellow,In the Ear
23,APPLE MNHF2ZM/A Wired Headset,APPLE,1900,4.1,11138,White,In the Ear
24,ARHUB A1 bluetooth o for Viv_o/Hono_r/Sam_sung/IOS/Op_p...,ARHUB,225,5.0,0,Black,True Wireless
25,ARHUB A1 bluetooth o for Viv_o/Hono_r/Sam_sung/IOS/Op_p...,ARHUB,225,3.0,0,Black,True Wireless
26,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,379,3.9,10398,Black,In the Ear
27,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neck...,Aroma,459,4.0,29426,Black,In the Ear
