item_id,brand,model_name,price_inr,rating,processor_brand,num_cores,processor_speed_ghz,ram_gb,storage_gb,battery_mah,display_size_in,refresh_hz,front_camera_mp,rear_camera_mp,os_brand,is_5g,is_wifi
1,Xiaomi,Xiaomi Pad 6S Pro,49990,4.65,Snapdragon,8.0,3.2,8.0,256.0,10000.0,12.4,144.0,32.0,50.0,Android,False,True
2,Samsung,Samsung Galaxy Tab A9 Plus Tablet,21829,4.75,Snapdragon,8.0,2.2,4.0,64.0,7040.0,11.0,90.0,5.0,8.0,Android,True,True
3,Lenovo,Lenovo Xiaoxin Pad Pro 12.7,18499,4.6,Snapdragon,8.0,3.2,8.0,128.0,10200.0,12.7,144.0,13.0,8.0,,True,True
4,Xiaomi,Xiaomi Pad 6 Tablet (8GB RAM + 256GB),28999,4.0,Snapdragon,8.0,3.2,8.0,256.0,8840.0,11.0,144.0,8.0,13.0,Android,False,True
5,Lenovo,Lenovo Xiaoxin Pad Pro 12.7 (8GB RAM + 256GB),20499,4.7,Snapdragon,8.0,3.2,8.0,256.0,10200.0,12.7,144.0,13.0,8.0,,True,True
6,Samsung,Samsung Galaxy Tab A9 Plus Tablet (5G+ 8GB RAM + 128GB),23399,4.75,Snapdragon,8.0,2.2,8.0,128.0,7040.0,11.0,90.0,5.0,8.0,Android,True,True
7,OnePlus,OnePlus Pad Go Tablet,21999,4.6,Helio,8.0,2.2,8.0,128.0,8000.0,11.35,90.0,8.0,8.0,,False,True
8,Xiaomi,Xiaomi Redmi Pad (4GB RAM + 128GB),12599,4.7,Helio,8.0,2.2,4.0,128.0,8000.0,10.61,90.0,8.0,8.0,,False,True
9,Honor,Honor Pad 9,16990,4.65,Snapdragon,8.0,2.2,8.0,128.0,8300.0,12.1,120.0,8.0,13.0,Android,False,True
10,Xiaomi,Xiaomi Pad 7 Pro,34990,4.0,Snapdragon,8.0,3.2,8.0,128.0,10000.0,10.0,144.0,32.0,50.0,Android,False,True
11,Samsung,Samsung Galaxy Tab S9 FE,42999,4.0,Exynos,8.0,2.4,6.0,128.0,8000.0,10.9,90.0,12.0,8.0,,True,True
12,Xiaomi,Xiaomi Pad 6 Tablet,26999,4.3,Snapdragon,8.0,3.2,6.0,128.0,8840.0,11.0,144.0,8.0,13.0,Android,False,True
13,Samsung,Samsung Galaxy Tab A9 Plus Tablet (Wi-Fi+8GB RAM+128GB),19999,4.15,Snapdragon,8.0,2.2,8.0,128.0,7040.0,11.0,90.0,5.0,8.0,Android,False,True
14,Motorola,Motorola Moto Tab G62 LTE,13999,4.75,Snapdragon,8.0,2.4,4.0,64.0,7700.0,10.6,,8.0,8.0,,False,True
15,OnePlus,OnePlus Pad Tablet,36921,4.6,Dimensity,8.0,3.05,8.0,128.0,9510.0,11.61,144.0,8.0,13.0,Android,False,True
16,OnePlus,OnePlus Pad Go Tablet (LTE+8GB+256GB),23999,4.15,Helio,8.0,2.2,8.0,256.0,8000.0,11.35,90.0,8.0,8.0,,False,True
17,Samsung,Samsung Galaxy Tab S9 FE Plus,53536,4.25,Exynos,8.0,2.4,8.0,128.0,10090.0,12.4,120.0,12.0,8.0,,True,True
18,Realme,Realme Pad 2 Tablet,19429,4.1,Helio,8.0,2.2,6.0,128.0,8360.0,11.5,120.0,5.0,8.0,,False,True
19,Xiaomi,Xiaomi Pad 6 Pro Tablet,29990,4.6,Snapdragon,8.0,3.19,8.0,128.0,8600.0,11.0,144.0,20.0,50.0,Android,False,True
20,Samsung,Samsung Galaxy Tab S7 FE (6GB RAM + 128GB),37999,4.1,Snapdragon,8.0,2.2,6.0,128.0,10090.0,12.4,,5.0,8.0,,False,True
21,Lenovo,Lenovo Tab P12,28999,4.3,Dimensity,8.0,2.0,8.0,256.0,10200.0,12.7,,8.0,13.0,Android,False,True
22,Samsung,Samsung Galaxy Tab S9 Ultra Tablet (5G + 12GB + 512GB),133999,4.45,Snapdragon,8.0,3.2,12.0,512.0,11200.0,14.6,120.0,12.0,13.0,,True,True
23,Xiaomi,Xiaomi Redmi Pad (6GB RAM + 128GB),16999,4.65,Helio,8.0,2.2,6.0,128.0,8000.0,10.61,90.0,8.0,8.0,,False,True
24,Motorola,Motorola Moto Tab G70,16199,4.2,Helio,8.0,2.05,4.0,64.0,7700.0,11.0,,8.0,13.0,,False,True
25,Xiaomi,Xiaomi Redmi Pad SE Tablet,9999,4.65,Snapdragon,8.0,2.4,4.0,128.0,8000.0,11.0,90.0,5.0,8.0,,False,True
26,Samsung,Samsung Galaxy Tab A9 Tablet,14999,4.65,Helio,8.0,2.2,4.0,64.0,5100.0,8.7,,2.0,8.0,,False,True
27,Apple,Apple iPad Pro 2024 Tablet,109990,4.25,Apple,8.0,,8.0,256.0,7938.0,11.0,,12.0,12.0,iOS,True,True
28,Motorola,Motorola Moto Tab G70 (6GB RAM + 128GB),17999,4.7,Helio,8.0,2.05,6.0,128.0,7700.0,11.0,,8.0,13.0,,False,True
29,Samsung,Samsung Galaxy Tab S6 Lite 2024,29999,4.1,Snapdragon,8.0,2.2,4.0,64.0,8040.0,10.5,,8.0,12.0,,False,True
30,iQOO,iQOO Pad Air,20990,4.2,Snapdragon,8.0,3.2,8.0,256.0,8500.0,11.5,144.0,5.0,8.0,Android,False,True
31,Lenovo,Lenovo Tab M10 5G (4GB RAM + 128GB),18999,4.75,Snapdragon,8.0,2.2,4.0,128.0,7700.0,10.61,,8.0,13.0,,True,True
32,Honor,Honor Pad X9,15999,4.4,Snapdragon,8.0,2.8,4.0,128.0,7250.0,11.5,,5.0,5.0,Android,False,True
33,OnePlus,OnePlus Pad Tablet (12 GB RAM + 256 GB),39387,4.7,Dimensity,8.0,3.05,12.0,256.0,9510.0,11.61,144.0,8.0,13.0,Android,False,True
34,Samsung,Samsung Galaxy Tab S9 Tablet,83990,4.45,Snapdragon,8.0,3.2,8.0,128.0,8400.0,11.0,120.0,12.0,13.0,,True,True
35,Samsung,Samsung Galaxy Tab S6 Lite Tablet (Wi-Fi +4GB+128GB),23999,4.2,Snapdragon,8.0,2.3,4.0,128.0,7040.0,10.4,,5.0,8.0,,False,True
36,Apple,Apple iPad Pro 11 2022 Tablet (Wi-Fi + 128GB),74999,4.65,Apple,8.0,,8.0,128.0,7538.0,11.0,,12.0,12.0,iPadOS,False,True
37,Realme,Realme Pad X Tablet (6GB RAM+ 128GB),27999,4.35,Snapdragon,8.0,2.2,6.0,128.0,8340.0,10.95,,8.0,13.0,,True,True
38,Oppo,Oppo Pad Air Tablet (4GB RAM + 128GB),13999,4.6,Snapdragon,8.0,2.4,4.0,128.0,7100.0,10.36,,8.0,8.0,,False,True
39,Samsung,Samsung Galaxy Tab S6 Lite 2022 Tablet (Wi-Fi Only),21999,4.6,Snapdragon,8.0,2.3,4.0,64.0,7040.0,10.4,,5.0,8.0,,False,True
40,Realme,Realme Pad 5G Tablet,24999,4.3,Snapdragon,8.0,3.2,8.0,256.0,8360.0,10.4,120.0,8.0,8.0,,True,True
41,Samsung,Samsung Galaxy Tab A8 10.5 2021 Tablet (4GB RAM + 64GB),14999,4.3,Tiger,8.0,2.0,4.0,64.0,7040.0,10.5,,5.0,8.0,,False,True
42,Samsung,Samsung Galaxy Tab S10 Tablet,89999,4.1,Snapdragon,8.0,3.3,8.0,128.0,9400.0,11.5,120.0,12.0,16.0,,True,True
43,Vivo,Vivo Pad 3,34990,4.45,Dimensity,8.0,3.25,8.0,128.0,10500.0,12.4,144.0,8.0,13.0,Android,False,True
44,OnePlus,OnePlus Pad Go Tablet (Wi-FI Only),19999,4.5,Helio,8.0,2.2,8.0,128.0,8000.0,11.35,90.0,8.0,8.0,Android,False,True
45,Samsung,Samsung Galaxy Tab S9 FE (Wi-Fi Only),36998,4.35,Exynos,8.0,2.4,6.0,128.0,8000.0,10.9,90.0,12.0,8.0,Android,False,True
46,Lenovo,Lenovo Tab M10 5G,20999,4.15,Snapdragon,8.0,2.2,6.0,128.0,7700.0,10.61,,8.0,13.0,,True,True
47,Vivo,Vivo Pad Air Tablet,20499,4.6,Snapdragon,8.0,3.2,8.0,128.0,8500.0,11.5,144.0,5.0,8.0,Android,False,True
48,iQOO,iQOO Pad,29999,4.55,Dimensity,8.0,3.2,8.0,128.0,10000.0,12.1,144.0,8.0,13.0,Android,False,True
49,Xiaomi,Xiaomi Redmi Pad,13999,4.6,Helio,8.0,2.2,3.0,64.0,8000.0,10.61,90.0,8.0,8.0,,False,True
50,Xiaomi,Xiaomi Redmi Pad 5G,21499,4.4,Snapdragon,8.0,2.4,4.0,64.0,,8.0,90.0,16.0,48.0,,True,True
51,Lenovo,Lenovo Tab P10 Tablet,22899,4.4,Snapdragon,8.0,1.8,4.0,64.0,7000.0,10.1,,5.0,8.0,,False,True
52,Samsung,Samsung Galaxy Tab A9 Plus Tablet  (Wi-Fi + 4GB RAM + 64GB),17950,4.25,Snapdragon,8.0,2.2,4.0,64.0,7040.0,11.0,90.0,5.0,8.0,Android,False,True
53,Samsung,Samsung Galaxy Tab S9 FE Plus 2023 (Wi-FI Only+8GB RAM + 128GB),43999,4.75,Exynos,8.0,2.4,8.0,128.0,10090.0,12.4,120.0,12.0,8.0,Android,False,True
54,Samsung,Samsung Galaxy Tab S9 FE Plus (12GB RAM + 256GB),61999,4.15,Exynos,8.0,2.4,12.0,256.0,10090.0,12.4,120.0,12.0,8.0,,True,True
55,Motorola,Motorola Moto Tab G62 LTE (4GB RAM + 128GB),15999,4.5,Snapdragon,8.0,2.4,4.0,128.0,7700.0,10.6,,8.0,8.0,,False,True
56,Motorola,Motorola Moto Tab G62 (4GB RAM + 128GB+ Wi-Fi),13999,4.6,Snapdragon,8.0,2.4,4.0,128.0,7700.0,10.6,,8.0,8.0,,False,True
57,Xiaomi,Xiaomi Pad 6 Max 14 Tablet,43999,4.55,Snapdragon,8.0,3.2,8.0,256.0,10000.0,14.0,120.0,20.0,50.0,Android,False,True
58,Samsung,Samsung Galaxy Tab S9 Tablet (5G+12GB+256GB),88990,4.3,Snapdragon,8.0,3.2,12.0,256.0,8400.0,11.0,120.0,12.0,13.0,,True,True
59,Realme,Realme Pad 2 Tablet (8GB RAM + 256GB),22999,4.55,Helio,8.0,2.2,8.0,256.0,8360.0,11.5,120.0,5.0,8.0,,False,True
60,Lenovo,Lenovo Tab M10 HD 2nd Gen Tablet (3GB RAM + 32GB),8999,4.65,Helio,8.0,2.0,3.0,32.0,5000.0,10.1,,5.0,8.0,,False,True
61,Lenovo,Lenovo Tab Extreme,96990,4.15,Dimensity,8.0,3.05,12.0,256.0,12300.0,14.5,120.0,13.0,13.0,,False,True
62,Honor,Honor Pad X8,8999,4.65,Helio,8.0,2.0,3.0,32.0,5100.0,10.1,,2.0,5.0,,False,True
63,Lenovo,Lenovo Tab P11 2nd Gen,17999,4.15,Helio,8.0,2.2,6.0,128.0,,11.5,120.0,8.0,13.0,Android,False,True
64,Nokia,Nokia T21 Tablet,11999,4.7,Tiger,8.0,2.0,4.0,64.0,8200.0,10.36,,8.0,8.0,,False,True
65,Vivo,Vivo Pad Tablet,28990,4.4,Snapdragon,8.0,3.2,8.0,128.0,8040.0,11.0,120.0,8.0,13.0,Android,False,True
66,Samsung,Samsung Galaxy Tab S7 FE (Wi-Fi Only),32499,4.55,Snapdragon,8.0,2.4,4.0,64.0,10090.0,12.4,,5.0,8.0,,False,True
67,Xiaomi,Xiaomi Mi Pad 5 Pro 5G Tablet,39999,4.4,Snapdragon,8.0,3.2,8.0,256.0,8600.0,11.0,120.0,8.0,50.0,Android,True,True
68,Samsung,Samsung Galaxy Tab S8 Ultra 5G Tablet,89999,4.5,Snapdragon,8.0,3.0,12.0,256.0,11200.0,14.6,120.0,12.0,13.0,,True,True
69,Samsung,Samsung Galaxy Tab S6 Lite,30999,4.15,Exynos,8.0,2.3,4.0,64.0,7040.0,10.4,,5.0,8.0,,False,True
70,Lenovo,Lenovo Tab M10a 5G,15990,4.5,Snapdragon,8.0,2.2,4.0,128.0,7700.0,10.61,,8.0,13.0,,True,True
71,Xiaomi,Xiaomi Pad 7 Tablet,32990,4.4,Snapdragon,8.0,3.0,8.0,256.0,9820.0,11.0,144.0,8.0,13.0,Android,False,True
72,iKall,iKall N11 New Tablet (Wi-Fi Only),3499,4.5,,,,2.0,16.0,3000.0,7.0,,0.3,2.0,Android,False,True
73,Samsung,Samsung Galaxy Tab A9 Tablet (Wi-Fi Only),11999,4.55,Helio,8.0,2.2,4.0,64.0,5100.0,8.7,,2.0,8.0,Android,False,True
74,Chuwi,Chuwi Hi10 X Pro Tablet,7355,4.0,Unisoc,8.0,2.0,4.0,128.0,5000.0,10.1,,5.0,8.0,,False,True
75,Samsung,Samsung Galaxy Tab S9 Plus Tablet (Wi-Fi+12GB+256GB),90999,4.25,Snapdragon,8.0,3.2,12.0,256.0,10090.0,12.4,120.0,12.0,13.0,Android,False,True
76,Oppo,Oppo Pad Air 2 Tablet,14990,4.05,Helio,8.0,2.2,6.0,128.0,8000.0,11.4,90.0,8.0,8.0,,False,True
77,Nubia,Nubia Redmagic Gaming Tablet,39999,4.05,Snapdragon,8.0,3.2,12.0,256.0,10000.0,12.1,144.0,16.0,13.0,Android,True,True
78,Honor,Honor Pad X8 (4GB RAM + 64GB),12999,4.15,Helio,8.0,2.0,4.0,64.0,5100.0,10.1,,2.0,5.0,,False,True
79,Lenovo,Lenovo Tab M9 (4GB RAM+64GB+ WI-Fi Only),11423,4.4,Helio,8.0,2.0,4.0,64.0,5100.0,9.0,,2.0,8.0,Android,False,True
80,Samsung,Samsung Galaxy Tab S9 Plus,104999,4.3,Snapdragon,8.0,3.2,12.0,256.0,10090.0,12.4,120.0,12.0,13.0,,True,True
81,Samsung,Samsung Galaxy Tab S9 Ultra Tablet,122999,4.1,Snapdragon,8.0,3.2,12.0,256.0,11200.0,14.6,120.0,12.0,13.0,,True,True
82,Vivo,Vivo Pad 2,29990,4.0,Dimensity,8.0,3.05,8.0,128.0,10000.0,12.1,144.0,8.0,13.0,Android,False,True
83,Lenovo,Lenovo Tab M9,8999,4.35,Helio,8.0,2.0,3.0,32.0,5100.0,9.0,,2.0,8.0,,False,True
84,Lenovo,Lenovo Tab M10 HD 2nd Gen Tablet (3GB RAM + 32GB),8999,4.65,Helio,8.0,2.0,3.0,32.0,5000.0,10.1,,5.0,8.0,,False,True
85,Apple,Apple iPad Pro 12.9 2022 Tablet,124050,4.55,Apple,8.0,,8.0,128.0,10758.0,12.9,,12.0,12.0,iPadOS,True,True
86,Lenovo,Lenovo M10 Plus 3rd Gen Tablet,15999,4.3,Snapdragon,8.0,2.4,6.0,128.0,7700.0,10.61,,8.0,8.0,,False,True
87,Motorola,Motorola Moto Tab G62 (Wi-Fi Only),12999,4.4,Snapdragon,8.0,2.4,4.0,64.0,7700.0,10.6,,8.0,8.0,,False,True
88,Lenovo,Lenovo Tab P12 Pro (Wi-Fi + 256GB),49999,4.5,Snapdragon,8.0,3.2,8.0,256.0,10200.0,12.6,120.0,8.0,13.0,,False,True
89,Oppo,Oppo Pad Air Tablet,15999,4.15,Snapdragon,8.0,2.4,4.0,64.0,7100.0,10.36,,8.0,8.0,,False,True
90,Samsung,Samsung Galaxy Tab S8 Tablet (Wi-Fi Only),49999,4.65,Snapdragon,8.0,3.0,8.0,128.0,8000.0,11.0,120.0,12.0,13.0,,False,True
91,Samsung,Samsung Galaxy Tab S8 FE,39990,4.75,Kompanio,8.0,2.6,4.0,64.0,10000.0,12.4,,5.0,13.0,,False,True
92,Lenovo,Lenovo Legion Pad Gaming Tablet,24999,4.75,Snapdragon,8.0,3.2,8.0,128.0,7100.0,7.0,120.0,8.0,8.0,,True,True
93,Lenovo,Lenovo Tab K10 FHD 4G Tablet,10999,4.15,Helio,8.0,2.0,3.0,32.0,7500.0,10.3,,5.0,8.0,,False,True
94,OPPO,OPPO Pad Tablet,27999,4.05,Snapdragon,8.0,3.2,6.0,128.0,8360.0,11.0,120.0,8.0,13.0,,True,True
95,Xiaomi,Xiaomi Mi Pad 5 Pro 5G Tablet,39999,4.4,Snapdragon,8.0,3.2,8.0,256.0,8600.0,11.0,120.0,8.0,50.0,Android,True,True
96,Samsung,Samsung Galaxy Tab S8 Ultra 5G Tablet,89999,4.5,Snapdragon,8.0,3.0,12.0,256.0,11200.0,14.6,120.0,12.0,13.0,,True,True
97,Samsung,Samsung Galaxy Tab S7 FE,40499,4.35,Snapdragon,8.0,2.2,4.0,64.0,10090.0,12.4,,5.0,8.0,,False,True
98,Samsung,Samsung Galaxy Tab S8 Plus 5G Tablet,85999,4.0,Snapdragon,8.0,3.0,8.0,128.0,10090.0,12.4,120.0,12.0,13.0,,True,True
99,Samsung,Samsung Galaxy Tab S7 Plus (Wi-Fi Only),49999,4.7,Snapdragon,8.0,3.09,6.0,128.0,10090.0,12.4,120.0,8.0,13.0,,False,True
100,Lenovo,Lenovo M10 FHD REL,7999,4.2,Snapdragon,8.0,1.8,2.0,32.0,7000.0,10.04,,5.0,8.0,,False,True
101,Samsung,Samsung Galaxy Tab S7 Plus,83999,4.75,Snapdragon,8.0,3.09,6.0,128.0,10090.0,12.4,120.0,8.0,13.0,,False,True
102,iQOO,iQOO Pad 2,34990,4.0,Snapdragon,8.0,3.2,8.0,256.0,10500.0,12.1,144.0,16.0,13.0,Android,False,True
103,Google,Google Pixel Tablet (8GB RAM +256GB),96834,4.4,Tensor,8.0,2.85,8.0,256.0,,10.95,90.0,8.0,8.0,Android,False,True
104,Vivo,Vivo Pad 3 Pro,44990,4.2,Snapdragon,8.0,3.3,8.0,128.0,10500.0,12.4,144.0,8.0,13.0,Android,False,True
105,Google,Google Pixel Tablet 2,79990,4.45,Tensor,8.0,3.0,8.0,128.0,,11.95,90.0,12.0,12.0,Android,False,True
106,Doogee,Doogee T30S Tablet,24799,4.25,Unisoc,8.0,1.6,6.0,256.0,8580.0,11.0,,8.0,13.0,,False,True
107,Ulefone,Ulefone Armor Pad,16599,4.55,Helio,8.0,2.0,4.0,64.0,7650.0,8.0,,5.0,13.0,,False,True
108,Lenovo,Lenovo Tab K11,19990,4.55,Helio,8.0,2.0,4.0,128.0,7040.0,10.95,90.0,8.0,8.0,,False,True
109,iKall,iKall N11 New Tablet (Wi-Fi Only),3499,4.5,,,,2.0,16.0,3000.0,7.0,,0.3,2.0,Android,False,True
110,Oppo,Oppo Pad Neo Tablet,21990,4.35,Helio,8.0,2.2,6.0,128.0,8000.0,11.36,90.0,8.0,8.0,,False,True
