item_id,brand,model_name,device_type,color,price_inr,original_price_inr,display_type,rating,strap_material,battery_life_days
1,Xiaomi,Smart Band 5,FitnessBand,Black,2499,2999,AMOLED Display,4.1,Thermoplastic polyurethane,14
2,Xiaomi,Smart Band 4,FitnessBand,Black,2099,2499,AMOLED Display,4.2,Thermoplastic polyurethane,14
3,Xiaomi,HMSH01GE,FitnessBand,Black,1722,2099,LCD Display,3.5,Leather,14
4,Xiaomi,Smart Band 5,FitnessBand,Black,2469,2999,AMOLED Display,4.1,Thermoplastic polyurethane,14
5,Xiaomi,Band 3,FitnessBand,Black,1799,2199,OLED Display,4.3,Plastic,7
6,Xiaomi,Band - HRX Edition,FitnessBand,Black,1299,1799,OLED Display,4.2,Plastic,20
7,Xiaomi,Band 2,FitnessBand,Black,2499,2499,OLED Display,4.3,Plastic,7
8,Xiaomi,Revolve,Smartwatch,Black,12349,15999,AMOLED Display,4.4,Silicone,14
9,Xiaomi,RevolveActive,Smartwatch,Black,12999,15999,AMOLED Display,4.4,Silicone,14
10,Xiaomi,Smart Band 3i,FitnessBand,Black,1270,1599,OLED Display,4.2,Thermoplastic polyurethane,7
11,OnePlus ,Steven Harrington Edition Band,FitnessBand,Blue,3299,3999,AMOLED Display,4.3,Thermoplastic polyurethane,7
12,OnePlus ,Band,FitnessBand,Dual Color,2499,2799,AMOLED Display,4.2,Thermoplastic polyurethane,7
13,FitBit,Versa 2,Smartwatch,"Grey, Pink, Black",11999,14999,AMOLED Display,4.3,Silicone,7
14,FitBit,Sense,Smartwatch,"Black, Pink, Beige",21499,22999,AMOLED Display,4.2,Elastomer,7
15,FitBit,Versa 3,Smartwatch,"Black, Blue, Pink",17999,18999,AMOLED Display,4.3,Elastomer,7
16,FitBit,Charge 4,FitnessBand,"Storm Blue, Black, Rosewood",9999,9999,PMOLED Display,4.2,Elastomer,7
17,FitBit,Inspire,FitnessBand,Maroon ,7990,7999,LED Display,4.2,Silicone,5
18,FitBit,Inspire 2,FitnessBand,"Black, Desert Rose, Lunar White",6999,7999,PMOLED Display,4.4,Thermoplastic polyurethane,10
19,FitBit,Lunar,FitnessBand,White ,10899,10999,AMOLED Display,4.7,Silicone,7
20,FitBit,Charge 4,FitnessBand,Granite Reflective ,10999,11999,PMOLED Display,4.2,Elastomer,7
21,FitBit,FB413LVLV,FitnessBand,Lilac ,8807,38500,AMOLED Display,4.1,Silicone,5
22,FitBit,Flex Small,FitnessBand,"Violet, black, Grey, Teal, Blue, Red",8490,8490,OLED Display,3.8,Rubber,5
23,FitBit,Inspire HR,FitnessBand,Black ,5599,8999,LED Display,4.3,Silicone,5
24,FitBit,Inspire,FitnessBand,Black ,5299,7999,LED Display,4.2,Silicone,5
25,FitBit,Charge 3,FitnessBand,Grey ,7599,13999,OLED Display,4.3,Silicone,7
26,FitBit,Versa Special Edition,Smartwatch,Charcoal ,10365,23499,AMOLED Display,4.1,Fabric,7
27,FitBit,Ionic,Smartwatch,Black ,18999,24999,LCD Display,4.1,Elastomer,7
28,FitBit,Versa 2 Special Edition,Smartwatch,Multicolor ,15499,23999,AMOLED Display,4.4,Silicone,7
29,FitBit,Ionic,Smartwatch,Blue ,22499,24999,LCD Display,4.1,Elastomer,7
30,FitBit,Ionic,Smartwatch,Grey ,26499,26499,LCD Display,4.1,Elastomer,7
31,FitBit,Versa,Smartwatch,Purple,16990,23499,AMOLED Display,4.1,Silicone,7
32,FitBit,Versa,Smartwatch,Grey ,17895,21499,AMOLED Display,4.2,Silicone,7
33,FitBit,Surge,Smartwatch,Blue,24990,24990,LCD Display,3.8,Elastomer,7
34,FitBit,Charge 2,FitnessBand,Black ,7499,14999,PMOLED Display,4.3,Silicone,7
35,FitBit,Charge 3 Special Edition,FitnessBand,"Purple, White",9999,15999,OLED Display,4.0,Silicone,7
36,FitBit,Blaze,Smartwatch,Purple,17999,19999,LCD Display,4.2,Elastomer,7
37,FitBit,Blaze,Smartwatch,Blue,19999,19999,LCD Display,4.2,Elastomer,7
38,FitBit,Blaze,Smartwatch,Black,22999,22999,LCD Display,4.2,Elastomer,7
39,FitBit,Surge,Smartwatch,Black,19990,19990,LCD Display,3.8,Elastomer,7
40,FitBit,Alta HR,FitnessBand,"Black, Plum, Grey",14999,14999,OLED Display,4.3,Elastomer,7
41,FitBit,Charge 2,FitnessBand,Plum silver,14999,14999,PMOLED Display,4.4,Silicone,7
42,FitBit,Versa Lite Edition,Smartwatch,Purple ,16999,16999,AMOLED Display,4.2,Elastomer,7
43,FitBit,Surge,Smartwatch,Orange,24990,24990,LCD Display,3.8,Elastomer,7
44,FitBit,versa,Smartwatch,Grey ,21499,21499,AMOLED Display,4.1,Silicone,7
45,FitBit,Versa,Smartwatch,Pink ,16124,19999,AMOLED Display,4.1,Silicone,7
46,FitBit,Charge HR,FitnessBand,Purple ,6990,14990,OLED Display,3.9,Thermoplastic polyurethane,7
47,FitBit,Charge HR,FitnessBand,"Orange, Pink, Green",14990,14990,OLED Display,3.9,Thermoplastic polyurethane,7
48,FitBit,Alta HR,FitnessBand,"Rose Gold, Gun Metal Black",16999,16999,OLED Display,4.3,Elastomer,7
49,FitBit,Versa Lite Edition,Smartwatch,Blue ,14399,15999,AMOLED Display,4.2,Elastomer,7
50,FitBit,Alta,FitnessBand,"Black, Purple, Teal, Blue",12999,12999,OLED Display,4.1,Elastomer,7
51,FitBit,Versa 3,Smartwatch,"Black, Blue, Pink",17999,18999,AMOLED Display,4.3,Elastomer,7
52,FitBit,Charge 2,FitnessBand,Violet ,14999,14999,PMOLED Display,4.3,Silicone,7
53,FitBit,Versa,Smartwatch,Black ,20590,21499,AMOLED Display,4.1,Silicone,7
54,FitBit,Versa 2,Smartwatch,Purple ,13499,21999,AMOLED Display,4.3,Silicone,7
55,FitBit,Surge,Smartwatch,Black,9999,19990,LCD Display,3.8,Elastomer,7
56,FitBit,Charge 3,FitnessBand,Black ,9999,13999,OLED Display,4.3,Silicone,7
57,FitBit,Charge 2,FitnessBand,Blue ,7499,14999,PMOLED Display,4.3,Silicone,7
58,FitBit,Charge 2,FitnessBand,Light Blue,14999,14999,PMOLED Display,4.4,Silicone,7
59,FitBit,Charge 2,FitnessBand,Blue ,8999,14999,PMOLED Display,4.4,Silicone,7
60,FitBit,Charge 2,FitnessBand,Black ,7498,14999,PMOLED Display,4.3,Silicone,7
61,FitBit,Charge 2,FitnessBand,Sky Blue ,14999,14999,PMOLED Display,4.3,Silicone,7
62,FitBit,Inspire HR,FitnessBand,Purple ,5598,9999,LED Display,4.3,Silicone,5
63,FitBit,Inspire HR,FitnessBand,White ,5899,9999,LED Display,4.3,Silicone,5
64,realme,Band 2,FitnessBand,Black,2999,3499,TFT-LCD Display,4.1,Silicone,7
65,realme,Band,FitnessBand,Yellow,1499,2999,TFT-LCD Display,4.0,Silicone,7
66,realme,Smart band,FitnessBand,Grey,1450,2999,TFT-LCD Display,4.0,Silicone,7
67,realme,Band,FitnessBand,Black,1290,2999,TFT-LCD Display,4.0,Silicone,7
68,Huawei,Band 4,FitnessBand,Black,1899,3099,TFT-LCD Display,4.2,Silicone,7
69,Huawei,Band 2,FitnessBand,Black,1699,4999,PMOLED Display,4.1,Silicone,7
70,Huawei,Band 2,FitnessBand,Blue,6999,6999,PMOLED Display,4.2,Silicone,7
71,Huawei,Band 2,FitnessBand,Black,4599,4599,PMOLED Display,4.1,Silicone,7
72,Huawei,Band 6,FitnessBand,"Pink, Black, Teal, Orange",4490,9990,PMOLED Display,4.4,Silicone,7
73,Huawei,Band 2 Pro Activity,FitnessBand,"Pink, Black",2199,5999,PMOLED Display,4.1,Silicone,7
74,Honor,Band 6,FitnessBand,"Sandstone Grey, Meteorite Black, Coral Pink, ",2999,5999,AMOLED Display,4.3,Plastic,14
75,Honor,Band 4,FitnessBand,"Meteorite Black, Midnight Navy",2700,2999,AMOLED Display,4.4,Plastic,7
76,Honor,Band 3,FitnessBand,Dynamic Orange,2499,2999,AMOLED Display,4.3,Plastic,7
77,Honor,Band 5i,FitnessBand,Black,2469,2999,LCD Display,4.2,Plastic,7
78,Honor,Band 3,FitnessBand,Navy Blue,2499,2999,PMOLED Display,4.3,Plastic,7
79,Honor,Band 5,FitnessBand,Black,2899,2999,AMOLED Display,4.4,Plastic,14
80,Honor,Band 5,FitnessBand,Black,2099,2999,AMOLED Display,4.4,Plastic,14
81,Honor,Band 5,FitnessBand,Olive Green,2199,2999,AMOLED Display,4.4,Plastic,14
82,Honor,Band 4,FitnessBand,Black,2599,2999,AMOLED Display,4.4,Plastic,7
83,Honor,Band 5i,FitnessBand,Black,1799,2999,LCD Display,4.2,Plastic,14
84,Honor,band 4 running,FitnessBand,Black,1649,2000,AMOLED Display,3.2,Plastic,7
85,Honor,Band Z1,FitnessBand,Black,5499,5499,AMOLED Display,3.9,Plastic,14
86,Honor,Band 3,FitnessBand,Black,4750,5499,OLED Display,4.3,Plastic,7
87,GOQii,Beat,FitnessBand,Black,2999,2999,OLED Display,2.8,Silicone,7
88,GOQii,Vital 3.0,FitnessBand,Black,3999,3999,OLED Display,3.1,Silicone,7
89,Infinix,Band 5,FitnessBand,"Black, Blue, Red",1499,2999,TFT-LCD Display,3.8,Silicone,4
90,LCARE,Watch,Smartwatch,Black,2995,4495,OLED Display,3.5,Silicone,7
91,LCARE,Mambo,FitnessBand,Black,1699,2995,OLED Display,3.8,Silicone,4
92,LAVA,BeFit,FitnessBand,Black,1999,3499,LCD Display,3.6,Thermoplastic polyurethane,7
93,Noise,ColorFit,FitnessBand,"Black, Blue",2199,2499,LCD Display,3.6,Silicone,3
94,Noise,ColorFit2,FitnessBand,"Black, Blue, Pink",1699,2499,TFT-LCD Display,3.9,Thermoplastic polyurethane,7
95,Oppo,46 mm,Smartwatch,"Black, Gold",14990,19990,AMOLED Display,3.9,Rubber,14
96,Oppo,41mm,Smartwatch,"Pink, Silver, Black",17990,24990,AMOLED Display,3.9,Rubber,14
97,realme,2 Pro,Smartwatch,Grey,4999,5999,AMOLED Display,4.4,Silicone,14
98,realme,2S,Smartwatch,Black,3499,3999,AMOLED Display,4.2,Silicone,7
99,realme,S,Smartwatch,"Black, White",4999,7999,AMOLED Display,4.3,Silicone,14
100,realme,S,Smartwatch,Black,6779,7999,AMOLED Display,4.3,Silicone,14
101,realme,S Pro,Smartwatch,Black,9999,12999,AMOLED Display,4.1,Silicone,14
102,realme,S Master,Smartwatch,Black,5999,8999,AMOLED Display,4.3,Silicone,14
103,realme,Fashion,Smartwatch,Black,5400,6999,TFT-LCD Display,4.0,Silicone,14
104,realme,Classic,Smartwatch,Black,3921,6999,TFT-LCD Display,4.0,Silicone,7
105,Fastrack,Reflex 3.0,Smartwatch,"Black, Pink",2495,2995,TFT-LCD Display,3.8,Silicone,7
106,Fastrack,Reflex 3.0,Smartwatch,Black,2200,2995,TFT-LCD Display,4.1,Silicone,4
107,Fastrack,Reflex Beat,Smartwatch,"Purple, Black",1645,2195,TFT-LCD Display,4.0,Silicone,4
108,Fastrack,Reflex Smart Band,FitnessBand,"Orange, Red, Black",1595,1995,OLED Display,4.0,Silicone,4
109,Fastrack,Reflex Smart Band,FitnessBand,"Green, Grey",1195,1995,OLED Display,4.1,Silicone,4
110,Fastrack,Reflex 2.0,Smartwatch,"Black, Green",1395,1995,TFT-LCD Display,4.1,Silicone,10
111,boAt ,Storm,Smartwatch,"Black, Teal Green, Grey",2999,5990,LCD Display,4.1,Thermoplastic polyurethane,7
112,boAt ,Xplorer,Smartwatch,"Black, Red, Blue",3499,7990,LCD Display,3.8,Thermoplastic polyurethane,10
113,boAt ,Delta,Smartwatch,"Black, Grey, Red",2499,5990,LCD Display,3.6,Silicone,7
114,boAt ,O2,Smartwatch,"Black, Green",7990,7990,LCD Display,4.1,Thermoplastic polyurethane,10
115,Noise ,ColorFit Qube SpO2,Smartwatch,"Charcoal Grey, Black, Pink",2499,4999,AMOLED Display,4.3,Thermoplastic polyurethane,7
116,Noise ,ColorFit Pro 3,Smartwatch,"Green, Grey, Black, Blue, Pink, Red",3999,5999,AMOLED Display,4.2,Thermoplastic polyurethane,7
117,Noise ,ColorFit Qube SpO2,Smartwatch,"Charcoal Black, Beige Gold",2499,4999,AMOLED Display,4.3,Thermoplastic polyurethane,7
118,Noise ,ColorFit Brio,Smartwatch,"Black, Pink",2999,5999,AMOLED Display,4.3,Thermoplastic polyurethane,10
119,Noise ,ColorFit Pro 2,Smartwatch,"Black, Deep Wine, Blue, Grey, Teal",2699,4999,AMOLED Display,4.1,Silicone,10
120,Noise ,Fit Active,Smartwatch,"Blue, Black",3499,5999,AMOLED Display,4.2,Silicone,7
121,Noise ,ColorFit Qube,Smartwatch,"Black, Green",2499,4999,AMOLED Display,4.0,Thermoplastic polyurethane,7
122,Noise ,ColorFit Pro 2 Oxy,Smartwatch,"Black, Blue, Red",2499,4999,AMOLED Display,4.0,Thermoplastic polyurethane,7
123,Noise ,ColorFit Brio,Smartwatch,"Black, Green",3499,5999,AMOLED Display,4.3,Thermoplastic polyurethane,7
124,Noise ,NoiseFit Endure,Smartwatch,"Black, Red, Blue",2999,5999,AMOLED Display,3.9,Silicone,7
125,Noise ,NoiseFit Endure,Smartwatch,"Grey, Green",2599,5999,AMOLED Display,3.9,Silicone,7
126,Noise ,ColorFit Pro,Smartwatch,"Black, Blue",2513,4999,AMOLED Display,3.9,Silicone,7
127,Noise ,ColorFit Pro,Smartwatch,"Green, Teal, Grey",2499,4999,AMOLED Display,3.9,Silicone,7
128,Noise ,Fit Evolve,Smartwatch,"Red, Black",5499,7999,AMOLED Display,3.9,Thermoplastic polyurethane,7
129,Noise ,Fusiom Hybrid,Smartwatch,Blue,5999,9999,AMOLED Display,4.0,Thermoplastic polyurethane,7
130,Noise ,Evolve,Smartwatch,"Black, Grey, Red",4999,7999,AMOLED Display,3.9,Thermoplastic polyurethane,7
131,Noise ,NoiseFit Endure,Smartwatch,"Black, Blue, Teal",2799,5999,AMOLED Display,3.9,Thermoplastic polyurethane,7
132,Honor,Z1,Smartwatch,Black,5499,5499,OLED Display,3.1,Silicone,14
133,Honor,GS Pro,Smartwatch,Black,13999,20999,AMOLED Display,4.4,Nylon,25
134,Honor,GS Pro,Smartwatch,Blue,17999,20999,AMOLED Display,4.4,Nylon,25
135,Honor,Watch Magic,Smartwatch,Black,7999,17999,AMOLED Display,4.3,Silicone,7
136,Honor,Magic Watch 2,Smartwatch,Brown,13999,15999,AMOLED Display,4.4,Leather,14
137,Honor,Watch ES,Smartwatch,"Black, Pink",4999,10999,AMOLED Display,4.3,Silicone,10
138,Honor,Magic Watch,Smartwatch,Brown,9047,17999,AMOLED Display,4.3,Silicone,7
139,huami,Amazfit GTS,Smartwatch,Beige,5499,12999,AMOLED Display,4.3,Silicone,14
140,huami,Amazfit GTS,Smartwatch,Black,5299,12999,AMOLED Display,4.3,Silicone,14
141,huami,Amazfit GTS,Smartwatch,Pink,5999,12999,AMOLED Display,4.3,Silicone,14
142,huami,Amazfit GTS,Smartwatch,Blue,5499,12999,AMOLED Display,4.3,Silicone,14
143,huami,Amazfit Bip U,Smartwatch,"Black, Pink",2999,5999,AMOLED Display,4.2,Silicone,9
144,huami,Amazfit Bip S Lite,Smartwatch,Black,1999,4999,AMOLED Display,3.9,Silicone,14
145,huami,Amazfit T-Rex,Smartwatch,"Green, Grey",5999,10999,AMOLED Display,4.3,Silicone,20
146,huami,Amazfit GTS 2e,Smartwatch,Purple,7999,13999,AMOLED Display,4.2,Silicone,14
147,huami,Amazfit GTR 2 Aluminium,Smartwatch,"Black, Red",11999,17999,AMOLED Display,4.1,Silicone,10
148,huami,Amazfit GTS 2,Smartwatch,Black,11999,17999,AMOLED Display,4.1,Silicone,7
149,huami,Amazfit GTR 2 Stainless Steel,Smartwatch,"Grey, Blue",12499,17999,AMOLED Display,4.1,Silicone,10
150,huami,Amazfit Bip,Smartwatch,Black,5499,6999,AMOLED Display,4.2,Silicone,28
151,huami,Amazfit GTR 42 mm Glitter,Smartwatch,White ,9999,16999,AMOLED Display,4.2,Silicone,12
152,huami,Amazfit Neo,Smartwatch,Black,2499,3999,AMOLED Display,4.2,Thermoplastic polyurethane,7
153,huami,Amazfit Bip S,Smartwatch,Black,5299,6499,AMOLED Display,4.0,Thermoplastic polyurethane,15
154,huami,Amazfit GTR 42,Smartwatch,Black,8999,12999,AMOLED Display,4.3,Silicone,14
155,huami,Amazfit Stratos 3,Smartwatch,Black,13999,17999,AMOLED Display,3.7,Silicone,14
156,huami,Amazfit GTR 42,Smartwatch,Red,9999,12999,AMOLED Display,4.3,Silicone,12
157,huami,Amazfit Pace,Smartwatch,Black,9999,10999,AMOLED Display,4.2,Silicone,14
158,huami,Amazfit Bip S,Smartwatch,Red,2999,4999,AMOLED Display,3.9,Thermoplastic polyurethane,15
159,huami,Amazfit Bip S,Smartwatch,"Green, Grey",3799,4999,AMOLED Display,3.9,Thermoplastic polyurethane,15
160,huami,Amazfit Bip,Smartwatch,Pink,5499,5990,AMOLED Display,4.2,Silicone,28
161,huami,Amazfit Bip S,Smartwatch,White ,4999,5999,AMOLED Display,4.0,Thermoplastic polyurethane,15
162,huami,Amazfit GTR 47,Smartwatch,Black,10999,18999,AMOLED Display,4.2,Silicone,25
163,huami,Amazfit GTR 47,Smartwatch,Black,8999,13999,AMOLED Display,4.3,Silicone,25
164,huami,Amazfit Verge,Smartwatch,Black,12999,12999,AMOLED Display,4.1,Silicone,25
165,huami,Amazfit Verge,Smartwatch,Black,11999,12999,AMOLED Display,4.1,Silicone,25
166,huami,Amazfit Verge,Smartwatch,Black,5999,8999,AMOLED Display,4.2,Silicone,14
167,huami,Amazfit Bip,Smartwatch,Red,4950,5990,AMOLED Display,4.2,Silicone,28
168,huami,Amazfit Verge,Smartwatch,Black,11999,12999,AMOLED Display,4.1,Silicone,7
169,huami,Amazfit Bip,Smartwatch,Purple,5499,6999,AMOLED Display,4.2,Silicone,28
170,huami,Amazfit Stratos,Smartwatch,Black,12999,15999,AMOLED Display,4.2,Silicone,25
171,huami,Amazfit Bip Lite,Smartwatch,Black,3499,5499,AMOLED Display,4.0,Thermoplastic polyurethane,7
172,huami,Amazfit Verge Lite,Smartwatch,Black,5999,8999,AMOLED Display,4.2,Silicone,5
173,huami,Amazfit Bip,Smartwatch,Grey,6399,7399,AMOLED Display,4.4,Silicone,28
174,huami,Bip Lite On,Smartwatch,Black,7999,14999,AMOLED Display,4.1,Silicone,7
175,SAMSUNG ,Galaxy Active 2,Smartwatch,"Black, Beige",11990,25990,AMOLED Display,4.5,Silicone,7
176,SAMSUNG ,Galaxy Active 2,Smartwatch,Grey,12990,25990,AMOLED Display,4.5,Silicone,7
177,SAMSUNG ,Galaxy Classic 4,Smartwatch,Black,32959,37999,AMOLED Display,4.6,Elastomer,14
178,SAMSUNG ,Galaxy Classic 4,Smartwatch,Silver,40000,42999,AMOLED Display,4.6,Elastomer,14
179,SAMSUNG ,Galaxy Classic 4,Smartwatch,Silver,34999,37999,AMOLED Display,4.6,Elastomer,14
180,SAMSUNG ,Galaxy Classic 4 LTE,Smartwatch,Black,28999,31999,AMOLED Display,5.0,Elastomer,14
181,SAMSUNG ,Galaxy Fit-e Smart,FitnessBand,Black,2000,2590,PMOLED Display,3.8,Rubber,7
182,SAMSUNG ,Galaxy Fit-e Smart,FitnessBand,Yellow,2490,2590,PMOLED Display,3.8,Rubber,7
183,SAMSUNG ,Galaxy Fit,FitnessBand,Silver,8990,9990,AMOLED Display,4.0,Rubber,7
184,SAMSUNG ,Galaxy Watch 3,Smartwatch,Black,28990,30990,AMOLED Display,4.3,Leather,14
185,SAMSUNG ,Galaxy Watch 4 LTE,Smartwatch,Black,31999,34999,AMOLED Display,4.6,Elastomer,14
186,SAMSUNG ,Galaxy Watch 4 Classic LTE,Smartwatch,Black,40000,42999,AMOLED Display,4.6,Elastomer,14
187,SAMSUNG ,Galaxy Watch 4 LTE,Smartwatch,Pink,28999,31999,AMOLED Display,4.6,Elastomer,14
188,SAMSUNG ,Galaxy Active 2,Smartwatch,Grey,18990,28490,AMOLED Display,4.1,Silicone,14
189,SAMSUNG ,Galaxy 46mm,Smartwatch,Grey,16990,33999,AMOLED Display,4.5,Elastomer,7
190,SAMSUNG ,Galaxy Classic 4 LTE,Smartwatch,"Silver, Green",36999,39999,AMOLED Display,4.6,Elastomer,14
191,SAMSUNG ,Galaxy Active Steel 2 LTE,Smartwatch,Brown,30990,34490,AMOLED Display,4.1,Silicone,14
192,SAMSUNG ,Galaxy Active Steel 2,Smartwatch,Black,24490,31990,AMOLED Display,4.3,Silicone,14
193,SAMSUNG ,Galaxy Classic 4,Smartwatch,Blue,34999,34999,AMOLED Display,4.6,Silicone,14
194,SAMSUNG ,Galaxy Active 42mm,Smartwatch,Black,19990,19990,AMOLED Display,4.4,Elastomer,14
195,SAMSUNG ,Galaxy 44mm,Smartwatch,Beige,24490,28490,AMOLED Display,3.6,Silicone,14
196,SAMSUNG ,Galaxy LTE,Smartwatch,Silver,31999,31999,AMOLED Display,4.6,Elastomer,14
197,SAMSUNG ,Gear Fit 2,Smartwatch,Blue,15000,15000,AMOLED Display,4.2,Silicone,7
198,SAMSUNG ,Gear Fit,Smartwatch,Black,7999,16860,AMOLED Display,3.9,Silicone,7
199,SAMSUNG ,Galaxy Active 2 Steel,Smartwatch,Black,24490,31990,AMOLED Display,4.4,Leather,14
200,SAMSUNG ,Gear S2,Smartwatch,"Silver, Blue",24300,24300,AMOLED Display,4.3,Elastomer,14
201,SAMSUNG ,Galaxy Active Steel,Smartwatch,Blue,29990,34490,AMOLED Display,4.1,Silicone,14
202,SAMSUNG ,Gear Fit 2 Pro,Smartwatch,"Red, Black",9990,14990,AMOLED Display,4.3,Silicone,7
203,SAMSUNG ,Gear Fit 2,Smartwatch,"Pink, Blue",15000,15000,AMOLED Display,4.2,Silicone,7
204,SAMSUNG ,Gear 2,Smartwatch,Black,19999,22550,AMOLED Display,2.3,Silicone,14
205,SAMSUNG ,Neo Gear 2,Smartwatch,Black,15500,16860,AMOLED Display,3.9,Rubber,7
206,SAMSUNG ,Galaxy Active 46mm,Smartwatch,Black,19990,19990,AMOLED Display,4.4,Elastomer,14
