laptop_id,model_name,brand,price_inr,rating,cpu_brand,cpu_tier,cpu_generation,cpu_cores,cpu_threads,ram_gb,ram_type,ssd_gb,hdd_gb,display_size_in,resolution_label,resolution_px,touchscreen,gpu_model,gpu_vram_gb,gpu_dedicated,os,warranty_years
1,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,50399,70.0,AMD,Ryzen 5,5.0,6.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,True,Radeon RX 6500M,4,True,Windows 11,1
2,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Tecno,23990,56.0,Intel,Core i3,11.0,2.0,4.0,8.0,LPDDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
3,Lenovo V15 G4 ‎82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,26989,55.0,AMD,Ryzen 3,7.0,4.0,8.0,8.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,False,Radeon Graphics,0,False,Windows 11,1
4,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Samsung,69990,60.0,Intel,Core i5,12.0,12.0,16.0,16.0,LPDDR5,512,0,13.3,1080x1920,2073600.0,False,Iris Xe Graphics,0,False,Windows 11,1
5,Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),Xiaomi,102990,78.0,Intel,Core i9,14.0,24.0,32.0,16.0,DDR5,1024,0,16.1,2560x1600,4096000.0,False,RTX 4060,8,True,Windows 11,1
6,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,35990,55.0,Intel,Core i3,12.0,6.0,8.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
7,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),Apple,79990,,Apple,M1,,8.0,,8.0,DDR4,256,0,13.3,2560x1600,4096000.0,False,M1,0,False,Mac OS,1
8,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Samsung,42990,54.0,Intel,Core i5,12.0,10.0,12.0,8.0,LPDDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
9,HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,54990,56.0,Intel,Core i5,12.0,10.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
10,HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,56490,69.0,AMD,Ryzen 5,7.0,6.0,12.0,16.0,DDR5,512,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,1
11,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Other,24990,51.0,Intel,Core i5,11.0,4.0,8.0,8.0,DDR4,512,0,15.6,1080x1920,2073600.0,False,Integrated,0,False,Windows 11,1
12,Zebronics Pro Series Z ZEB-NBC 4S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Other,32990,64.0,Intel,Core i5,12.0,10.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
13,Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Asus,52990,59.0,Intel,Core i5,12.0,12.0,16.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
14,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),HP,81990,73.0,AMD,Ryzen 7,7.0,8.0,16.0,16.0,DDR5,1024,0,16.1,1920x1080,2073600.0,False,RTX 3050,6,True,Windows 11,1
15,Apple MacBook Air 2024 Laptop (Apple M3/ 8GB/ 256GB SSD/ MacOS),Apple,114900,,Apple,M3,,8.0,,8.0,DDR4,256,0,13.6,2560x1664,4259840.0,False,M3,0,False,Mac OS,1
