,name,brand,rating,price,processor_brand,num_processor,processor_speed,ram,memory_inbuilt,battery_capacity,charger,charging,display_size_inches,pixel,resolution_width,resolution_height,ppi,frequency_display_hz,primary_front_camera,secondry_front_camera,primary_rear_camera,secondry_rear_camera,os_brand,version,memory_card_upto,sim,is_5G,is_wifi
0,Xiaomi Pad 6S Pro,Xiaomi,4.65,49990,Snapdragon,8.0,3.2,8,256.0,10000.0,120.0,Fast,12.4,2032x3048,2032.0,3048.0,295.42,144.0,32.0,,50.0,2.0,Android,14.0,,,not_available,Wi-Fi
1,Samsung Galaxy Tab A9 Plus Tablet,Samsung,4.75,21829,Snapdragon,8.0,2.2,4,64.0,7040.0,15.0,Fast,11.0,1200x1920,1200.0,1920.0,205.83,90.0,5.0,,8.0,,Android,13.0,1TB,,5G,Wi-Fi
2,Lenovo Xiaoxin Pad Pro 12.7,Lenovo,4.6,18499,Snapdragon,8.0,3.2,8,128.0,10200.0,20.0,Fast,12.7,2944x1840,2944.0,1840.0,273.36,144.0,13.0,,8.0,,,,1TB,Single Sim,5G,Wi-Fi
3,Xiaomi Pad 6 Tablet (8GB RAM + 256GB),Xiaomi,4.0,28999,Snapdragon,8.0,3.2,8,256.0,8840.0,33.0,Fast,11.0,1800x2880,1800.0,2880.0,308.75,144.0,8.0,,13.0,,Android,13.0,,,not_available,Wi-Fi
4,Lenovo Xiaoxin Pad Pro 12.7 (8GB RAM + 256GB),Lenovo,4.7,20499,Snapdragon,8.0,3.2,8,256.0,10200.0,20.0,Fast,12.7,2944x1840,2944.0,1840.0,273.36,144.0,13.0,,8.0,,,,1TB,Single Sim,5G,Wi-Fi
5,Samsung Galaxy Tab A9 Plus Tablet (5G+ 8GB RAM + 128GB),Samsung,4.75,23399,Snapdragon,8.0,2.2,8,128.0,7040.0,15.0,Fast,11.0,1200x1920,1200.0,1920.0,205.83,90.0,5.0,,8.0,,Android,13.0,1TB,,5G,Wi-Fi
6,OnePlus Pad Go Tablet,OnePlus,4.6,21999,Helio,8.0,2.2,8,128.0,8000.0,33.0,Fast,11.35,1720x2408,1720.0,2408.0,260.72,90.0,8.0,,8.0,,,,1TB,Single Sim,not_available,Wi-Fi
7,Xiaomi Redmi Pad (4GB RAM + 128GB),Xiaomi,4.7,12599,Helio,8.0,2.2,4,128.0,8000.0,18.0,Fast,10.61,1200x2000,1200.0,2000.0,219.83,90.0,8.0,,8.0,,,,1TB,,not_available,Wi-Fi
8,Apple iPad 9th Gen 10.2 2021 Tablet (Wi-Fi+64GB),Apple,4.7,25999,Bionic,6.0,2.65,,64.0,,,,10.2,2160x1620,2160.0,1620.0,264.71,,12.0,,8.0,,iOS,15.0,Not_available,,not_available,Wi-Fi
9,Honor Pad 9,Honor,4.65,16990,Snapdragon,8.0,2.2,8,128.0,8300.0,35.0,Fast,12.1,1600x2560,1600.0,2560.0,249.49,120.0,8.0,,13.0,,Android,13.0,,,not_available,Wi-Fi
